id,name,launched,deadline,goal,pledged,backers,outcome,country,currency,category,sub_category
1,Ragdolls,4/25/13 0:00,5/25/13 0:00,15000,20,3,failed,US,USD,Film & Video,Webseries
2,One To Ten,11/16/15 0:00,12/16/15 0:00,223.68,413.81,23,successful,GB,GBP,Film & Video,Shorts
3,Future Gun - A short film about kids and advanced hardware,8/28/13 0:00,9/27/13 0:00,5000,1497,28,failed,US,USD,Film & Video,Animation
4,Fourth Wave Apparel—Vintage Fashion for the Modern Feminist,7/22/14 0:00,8/21/14 0:00,6000,8795,218,successful,US,USD,Fashion,Apparel
5,The Rich Lifestyle,8/24/16 0:00,9/28/16 0:00,2000000,2,2,failed,US,USD,Film & Video,Documentary
6,Perils Galore!,9/25/12 0:00,11/1/12 0:00,2500,230,5,failed,US,USD,Art,Illustration
7,In a Dark Dark House - Directed by Larry Moss,7/1/14 0:00,8/15/14 0:00,55000,9316,45,failed,US,USD,Theater,Theater
8,CHARLIEFOXTROTNY,5/21/14 0:00,6/20/14 0:00,6000,161,4,failed,US,USD,Film & Video,Webseries
9,Fat Englishmen - Beer and Sumo,3/3/15 0:00,4/2/15 0:00,50000,0,0,failed,US,USD,Film & Video,Comedy
10,bear elements old-fashioned shave and beard care for men,4/14/16 0:00,5/14/16 0:00,12000,306,11,failed,US,USD,Crafts,Crafts
11,DigIndustrial Art,6/19/14 0:00,7/9/14 0:00,30000,111,4,failed,US,USD,Art,Digital Art
12,Expanding Farm to service the local Food Bank,6/13/16 0:00,7/13/16 0:00,2500,405,5,failed,US,USD,Food,Farms
13,Church Hive. Church hiring made easy!,9/1/16 0:00,10/1/16 0:00,16800,101,2,failed,US,USD,Technology,Web
14,The Visual Media Directory Project,3/7/12 0:00,5/6/12 0:00,10000,2,2,failed,US,USD,Art,Public Art
15,Too Sweet - The Not So Serious Side to Diabetes,1/16/14 0:00,2/15/14 0:00,2500,2525,6,successful,US,USD,Publishing,Nonfiction
16,“Baby Hungry” Short Film Finishing Funds,10/27/10 0:00,11/26/10 0:00,1500,1525,23,successful,US,USD,Film & Video,Shorts
17,"Turn ""solvents-forgive yr. blood"" into 12 inches of vinyl!!",4/20/11 0:00,5/20/11 0:00,1000,1494,43,successful,US,USD,Music,Music
18,Fishin' for Chickens,11/14/11 0:00,11/30/11 0:00,2695,3667.13,75,successful,US,USD,Film & Video,Shorts
19,ROAM RECORD FUND,9/29/10 0:00,10/29/10 0:00,5000,5847,99,successful,US,USD,Music,Rock
20,William Charles and Dirt Road Trippers NEW EP,10/9/12 0:00,12/8/12 0:00,800,425,8,failed,US,USD,Music,Rock
21,Vega - Six String Theory - Alternative Rap Album Production,4/14/14 0:00,5/14/14 0:00,3500,1,1,failed,US,USD,Music,Hip-Hop
22,Life Planner,11/9/15 0:00,12/8/15 0:00,10004.09,4453.34,161,failed,GB,GBP,Design,Product Design
23,Number Ten Pond - 2014 Calendar,7/26/13 0:00,8/20/13 0:00,3800,1488,43,failed,US,USD,Photography,Photography
24,Chosen Gospel single 'Make me a Believer',8/13/13 0:00,9/3/13 0:00,701.02,20.25,3,failed,GB,GBP,Music,World Music
25,OILOVE YOU,9/17/14 0:00,11/7/14 0:00,17000,20,1,failed,US,USD,Food,Food
26,Up Against The Downturn,6/22/11 0:00,7/22/11 0:00,5600,1026,9,failed,US,USD,Film & Video,Documentary
27,Mosquito Wars,6/13/12 0:00,7/13/12 0:00,15000,1401,11,failed,US,USD,Film & Video,Documentary
28,Bev's First Studio EP! - The Noble House of Pancake,11/14/14 0:00,12/14/14 0:00,12000,12545,224,successful,US,USD,Music,Pop
29,Clean Water For Africa,8/12/14 0:00,10/11/14 0:00,50,30,2,failed,US,USD,Film & Video,Narrative Film
30,"Mercurial Theatre Presents: HP Lovecraft's ""Call of Cthulhu""",5/9/17 0:00,6/8/17 0:00,5000,1651,25,failed,US,USD,Theater,Experimental
31,BLACKOUT: The Eradication Protocols,5/9/17 0:00,6/18/17 0:00,5200,6419,225,successful,US,USD,Comics,Comic Books
32,"Men's Fashion, the next big thing.",6/5/14 0:00,7/5/14 0:00,800,0,0,failed,US,USD,Fashion,Fashion
33,Jack Daniels Cake,7/18/14 0:00,8/17/14 0:00,3000,0,0,failed,US,USD,Food,Food
34,See the time in every timezone on earth on one Orbi Clock,2/19/14 0:00,4/5/14 0:00,8900,281,5,failed,US,USD,Design,Design
35,Moveable Movie Production Studios for Educators,1/22/17 0:00,2/22/17 0:00,10608.95,0,0,failed,DE,EUR,Film & Video,Film & Video
36,NASHVILLE RISES,1/27/11 0:00,3/13/11 0:00,4000,4001,15,successful,US,USD,Film & Video,Film & Video
37,Donald Trump Plush with Audio. Checklist on Back of Box.,10/11/16 0:00,11/8/16 0:00,35000,185,6,failed,US,USD,Design,Product Design
38,Mind Magnet - Watch for teaching children to stay on task,6/11/17 0:00,7/11/17 0:00,25000,0,0,canceled,US,USD,Technology,Wearables
39,Cold War 2,5/11/14 0:00,6/10/14 0:00,2500,281,15,failed,US,USD,Games,Video Games
40,Jersey Shoresical:A Frickin' Rock Opera,6/17/11 0:00,7/17/11 0:00,8000,8086,73,successful,US,USD,Theater,Theater
41,Fridge Feet,12/7/13 0:00,1/6/14 0:00,20000,1254,49,failed,US,USD,Design,Product Design
42,Fat Boy's Nerd Emporium,7/16/14 0:00,8/15/14 0:00,5000,0,0,failed,US,USD,Games,Gaming Hardware
43,Little Fears Nightmare Edition - Blessed are the Children,8/22/13 0:00,9/21/13 0:00,1500,9071,164,successful,US,USD,Games,Tabletop Games
44,Lest We Forget,5/12/16 0:00,6/11/16 0:00,11627.01,82.16,3,failed,CA,CAD,Comics,Comic Books
45,"1000 Haiku, 1000 Strangers",11/20/10 0:00,12/25/10 0:00,1500,5276.01,228,successful,US,USD,Publishing,Poetry
46,Field Reflections: The Final Painting,9/12/12 0:00,10/15/12 0:00,3000,4268,18,successful,US,USD,Art,Painting
47,The Kitchen: a space for participatory cooking & dining,12/6/12 0:00,1/15/13 0:00,40000,45026,309,successful,US,USD,Food,Food
